id,scenario,class_num,project,name-param-samling,AUC-ROC,MCC,path,clf
660,timewise,2,ZooKeeper,NB 0.1 RUS,0.635104518,0.28274804,z:\data\prediction_compare_2\timewise_ZooKeeper_NB 0.1 RUS_10.pk,NB
1572,timewise,3,ZooKeeper,NB 1 ROS,0.546945827,0.128680749,z:\data\prediction_compare_3\timewise_ZooKeeper_NB 1 ROS_10.pk,NB
3336,timewise,5,ZooKeeper,NB 1e-05 SMOTE,0.554232969,0.11459141,z:\data\prediction_compare_5\timewise_ZooKeeper_NB 1e-05 SMOTE_10.pk,NB
4272,within,2,ZooKeeper,NB 1 RUS,0.575815217,0.192634286,z:\data\prediction_compare_2\within_ZooKeeper_NB 1 RUS_10_.pk,NB
4860,within,3,ZooKeeper,NB 0.1 NONE,0.537741581,0.08835348,z:\data\prediction_compare_3\within_ZooKeeper_NB 0.1 NONE_10_.pk,NB
6912,within,5,ZooKeeper,NB 1e-09 SMOTE,0.526937732,0.056450185,z:\data\prediction_compare_5\within_ZooKeeper_NB 1e-09 SMOTE_10_.pk,NB
7860,cross,2,ZooKeeper,NB 0.1 RUS,0.601488095,0.234916268,z:\data\prediction_compare_2\cross_ZooKeeper_NB 0.1 RUS_10.pk,NB
8712,cross,3,ZooKeeper,NB 1e-09 ROS,0.533620919,0.078600815,z:\data\prediction_compare_3\cross_ZooKeeper_NB 1e-09 ROS_10.pk,NB
10512,cross,5,ZooKeeper,NB 1e-09 SMOTE,0.524411346,0.052074802,z:\data\prediction_compare_5\cross_ZooKeeper_NB 1e-09 SMOTE_10.pk,NB
325,timewise,2,Hadoop Common,NB 1e-07 ROS,0.648484132,0.283234268,z:\data\prediction_compare_2\timewise_Hadoop Common_NB 1e-07 ROS_10.pk,NB
1525,timewise,3,Hadoop Common,NB 1e-07 ROS,0.541223201,0.092520261,z:\data\prediction_compare_3\timewise_Hadoop Common_NB 1e-07 ROS_10.pk,NB
2449,timewise,5,Hadoop Common,NB 0.001 NONE,0.523821078,0.047444315,z:\data\prediction_compare_5\timewise_Hadoop Common_NB 0.001 NONE_10.pk,NB
3673,within,2,Hadoop Common,NB 1 NONE,0.653800175,0.315218848,z:\data\prediction_compare_2\within_Hadoop Common_NB 1 NONE_10_.pk,NB
4813,within,3,Hadoop Common,NB 1e-09 NONE,0.554545837,0.121800698,z:\data\prediction_compare_3\within_Hadoop Common_NB 1e-09 NONE_10_.pk,NB
6013,within,5,Hadoop Common,NB 1e-09 NONE,0.540646556,0.090641417,z:\data\prediction_compare_5\within_Hadoop Common_NB 1e-09 NONE_10_.pk,NB
7549,cross,2,Hadoop Common,NB 0.001 ROS,0.557113247,0.117777055,z:\data\prediction_compare_2\cross_Hadoop Common_NB 0.001 ROS_10.pk,NB
9049,cross,3,Hadoop Common,NB 0.001 RUS,0.508313238,0.033082945,z:\data\prediction_compare_3\cross_Hadoop Common_NB 0.001 RUS_10.pk,NB
10213,cross,5,Hadoop Common,NB 1e-09 RUS,0.511470383,0.022776257,z:\data\prediction_compare_5\cross_Hadoop Common_NB 1e-09 RUS_10.pk,NB
374,timewise,2,Hadoop Map/Reduce,NB 1 ROS,0.652661593,0.321662125,z:\data\prediction_compare_2\timewise_Hadoop MapReduce_NB 1 ROS_10.pk,NB
1574,timewise,3,Hadoop Map/Reduce,NB 1 ROS,0.541522109,0.110435141,z:\data\prediction_compare_3\timewise_Hadoop MapReduce_NB 1 ROS_10.pk,NB
